EntityDismountEvent: entities.dismount
EntityMountEvent: entities.mount
PlayerSpawnLocationEvent: players.spawn
BlockBreakEvent: blocks.break
BlockBurnEvent: blocks.burn
BlockCanBuildEvent: blocks.can.build
BlockCookEvent: blocks.cooking_finished
BlockDamageAbortEvent: blocks.break.stop
BlockDamageEvent: blocks.damage
BlockDispenseArmorEvent: blocks.dispense.armor
BlockDispenseEvent: blocks.dispense
BlockDropItemEvent: blocks.drop.item
BlockEvent: blocks
BlockExpEvent: blocks.exp
BlockExplodeEvent: blocks.explode
BlockFadeEvent: blocks.melt
BlockFertilizeEvent: blocks.bonemealed
BlockFormEvent: blocks.form
BlockFromToEvent: blocks.liquid.move
BlockGrowEvent: blocks.grow
BlockIgniteEvent: blocks.ignite
BlockMultiPlaceEvent: blocks.place.double
BlockPhysicsEvent: blocks.physics
BlockPistonEvent: blocks.piston
BlockPistonExtendEvent: blocks.piston.extend
BlockPistonRetractEvent: blocks.piston.retract
BlockPlaceEvent: blocks.place
BlockReceiveGameEvent: blocks.skulk.activate
BlockRedstoneEvent: blocks.redstone.change
BlockShearEntityEvent: blocks.dispense.shear
BlockSpreadEvent: blocks.spread
CauldronLevelChangeEvent: blocks.cauldron.level
EntityBlockFormEvent: entities.blocks.form
FluidLevelChangeEvent: blocks.liquid.level
LeavesDecayEvent: blocks.leaves.decay
MoistureChangeEvent: blocks.soil.moisture
NotePlayEvent: blocks.note_block.play
SignChangeEvent: blocks.sign
SpongeAbsorbEvent: blocks.sponge
EnchantItemEvent: items.enchant.success
PrepareItemEnchantEvent: items.enchant.insert
AreaEffectCloudApplyEvent: entities.area_effect.apply
ArrowBodyCountChangeEvent: entities.arrow.count
BatToggleSleepEvent: entities.bat.sleep
CreatureSpawnEvent: entities.spawn
CreeperPowerEvent: entities.creeper.lightning
EnderDragonChangePhaseEvent: entities.ender_dragon.attack_phase
EntityAirChangeEvent: entities.air.change
EntityBreakDoorEvent: entities.break.door
EntityBreedEvent: entities.breed
EntityChangeBlockEvent: entities.change.block
EntityCombustByBlockEvent: entities.combust.block by block
EntityCombustByEntityEvent: entities.combust.entity by entity
EntityCombustEvent: entities.combust
EntityDamageByBlockEvent: entities.damage by block
EntityDamageByEntityEvent: entities.damage by entity
EntityDamageEvent: entities.damage
EntityDeathEvent: entities.death
EntityDropItemEvent: entities.drop.item
EntityEnterBlockEvent: entities.enter.block
EntityEnterLoveModeEvent: entities.love_mode
EntityEvent: entities
EntityExhaustionEvent: entities.exhaustion
EntityExplodeEvent: entities.explode
EntityInteractEvent: entities.interact
EntityPickupItemEvent: entities.pickup.item
EntityPlaceEvent: entities.spawn.from_item by player
EntityPortalEnterEvent: entities.portal.enter
EntityPortalEvent: entities.portal
EntityPortalExitEvent: entities.portal.exit
EntityPoseChangeEvent: entities.pose
EntityPotionEffectEvent: entities.potion
